time,KE,T,PE,total E
0.005,761.402597283,0.991409631879,-2423.99607046,-1662.59347318
0.01,741.803397518,0.965889840518,-2404.36825894,-1662.56486142
0.015,709.841179143,0.924272368676,-2372.34594298,-1662.50476383
0.02,666.746816894,0.86815991783,-2329.14541269,-1662.3985958
0.025,614.535856303,0.800176896228,-2276.76594113,-1662.23008483
0.03,556.186301985,0.724200914043,-2218.18423948,-1661.9979375
0.035,495.670898047,0.645404815165,-2157.37487326,-1661.70397521
0.04,437.759914087,0.569999888133,-2099.14623928,-1661.38632519
0.045,387.503311422,0.504561603414,-2048.60228384,-1661.09897242
0.05,349.412312781,0.454963948934,-2010.31261294,-1660.90030016
0.055,326.563724368,0.425213182771,-1987.39983825,-1660.83611389
0.06,319.935874279,0.416583169634,-1980.85489908,-1660.9190248
0.065,328.266301932,0.42743008064,-1989.38518602,-1661.11888409
0.07,348.474159199,0.45374239479,-2009.85753397,-1661.38337477
0.075,376.445108453,0.490162901631,-2038.09765248,-1661.65254403
0.08,407.875748811,0.531088214598,-2069.76009244,-1661.88434363
0.085,438.963903404,0.571567582557,-2101.0178147,-1662.0539113
0.09,466.844314014,0.607870200539,-2128.99586625,-1662.15155224
0.095,489.749096277,0.637694135777,-2151.9295307,-1662.18043443
0.1,506.9732686,0.660121443489,-2169.12827104,-1662.15500244
0.105,518.714758325,0.675409841569,-2180.80559198,-1662.09083366
0.11,525.83289866,0.684678253463,-2187.83766344,-1662.00476478
0.115,529.581212473,0.689558870407,-2191.49482621,-1661.91361374
0.12,531.358858913,0.69187351421,-2193.187126,-1661.82826709
0.125,532.513035025,0.693376347689,-2194.27080381,-1661.75776879
0.13,534.204824367,0.695579198394,-2195.90968116,-1661.70485679
0.135,537.327703062,0.699645446696,-2198.99732253,-1661.66961947
0.14,542.468663036,0.706339404995,-2204.12598829,-1661.65732526
0.145,549.893379408,0.716007004437,-2211.55689358,-1661.66351418
0.15,559.556946243,0.728589773753,-2221.24241418,-1661.68546793
0.155,571.158412926,0.743695850164,-2232.87534911,-1661.71693619
0.16,584.245404804,0.760736204172,-2245.99355355,-1661.74814874
0.165,598.317336695,0.779059032155,-2260.09549326,-1661.77815656
0.17,612.904054391,0.798052154155,-2274.70558725,-1661.80153286
0.175,627.606813464,0.817196371698,-2289.42741299,-1661.82059953
0.18,642.11072946,0.836081678985,-2303.94430185,-1661.83357239
0.185,656.194229867,0.854419570139,-2318.03805595,-1661.84382608
0.19,669.710995169,0.872019524959,-2331.56135502,-1661.85035985
0.195,682.565964069,0.888757765715,-2344.42499412,-1661.85903005
0.2,694.677006298,0.904527351951,-2356.54742265,-1661.87041635
0.205,705.945214109,0.919199497537,-2367.8304284,-1661.88521429
0.21,716.253930025,0.93262230472,-2378.1531334,-1661.89920337
0.215,725.475748312,0.944629880615,-2387.38798046,-1661.91223215
0.22,733.527657154,0.95511413692,-2395.44388795,-1661.9162308
0.225,740.450978229,0.964128877903,-2402.36275131,-1661.91177308
0.23,746.445050724,0.971933659796,-2408.34286624,-1661.89781552
0.235,751.826825145,0.978941178575,-2413.70863505,-1661.8818099
0.24,756.921543835,0.985574926869,-2418.7958463,-1661.87430247
0.245,761.949453056,0.992121683667,-2423.82679213,-1661.87733907
0.25,767.005483643,0.998705056827,-2428.89050548,-1661.88502183
0.255,772.133982943,1.00538279029,-2434.0262591,-1661.89227616
0.26,777.413591291,1.01225728033,-2439.30431388,-1661.89072259
0.265,782.983434179,1.01950967992,-2444.87113045,-1661.88769627
0.27,788.994306012,1.02733633595,-2450.88544764,-1661.89114162
0.275,795.508849617,1.03581881461,-2457.41009541,-1661.90124579
0.28,802.440594481,1.04484452406,-2464.36168082,-1661.92108634
0.285,809.571751776,1.05412988512,-2471.51561318,-1661.9438614
0.29,816.611892259,1.06329673471,-2478.57752389,-1661.96563164
0.295,823.2365725,1.07192262044,-2485.22762984,-1661.99105734
0.3,829.053350831,1.07949655056,-2491.07913603,-1662.02578519
0.305,833.54548994,1.08534569003,-2495.61580867,-1662.07031873
0.31,836.099424434,1.08867112557,-2498.21031596,-1662.11089153
0.315,836.195637705,1.08879640326,-2498.32388176,-1662.12824406
0.32,833.67750974,1.08551759081,-2495.78763819,-1662.11012845
